12.98	0.317	9.998	57.702
14.295	2.028	6.776	59.295
15.531	5.305	2.947	55.166
15.133	4.738	4.201	55.767
15.342	7.038	2.053	51.722
17.149	5.982	-0.055	60.446
15.462	2.737	4.657	60.715
12.801	10.663	3.048	37.447
17.039	5.132	0.257	60.974
13.172	2.039	8.738	55.27
16.125	2.271	2.101	59.289
14.34	4.077	5.545	54.027
12.923	2.643	9.331	53.199
14.231	10.401	1.041	41.896
15.222	1.22	6.149	53.254
15.74	10.612	-1.691	45.798
14.958	4.815	4.111	58.699
14.125	3.153	8.453	50.086
16.391	9.698	-1.714	48.89
16.452	3.912	2.145	62.213
13.535	7.625	3.851	45.625
14.199	4.474	5.112	53.923
15.837	5.753	2.087	55.799
16.565	8.546	8.974	56.741
13.322	8.598	4.011	43.145
15.949	8.29	-0.248	50.706
